Brooklyn,Pizza,08A,A
Manhattan,American,10A,A
Manhattan,Caribbean,09C,Z
Manhattan,Coffee/Tea,06A,A
Manhattan,Vegan,02B,A
Bronx,Pizza,10F,A
Queens,Bagels/Pretzels,02B,A
Brooklyn,American,06E,A
Brooklyn,Japanese,04K,B
Brooklyn,Donuts,04M,A
Manhattan,French,06C,B
Brooklyn,German,10A,A
Manhattan,Other,02B,N
Manhattan,American,10E,A
Brooklyn,Chinese,10G,A
Bronx,Mexican,04A,A
Queens,Donuts,09B,A
Manhattan,American,04L,N
Manhattan,American,02B,B
Brooklyn,Polish,04L,Z
Staten Island,American,06F,A
Brooklyn,Chicken,08A,B
Staten Island,Pizza,06E,A
Queens,Sandwiches,06D,A
Queens,Korean,02B,B
Queens,Peruvian,04K,C
Manhattan,Latin American,02B,B
Manhattan,Korean,10H,A
Brooklyn,Bottled Beverages,09C,A
Manhattan,Donuts,10I,A
Manhattan,Other,06D,A
Brooklyn,American,04L,A
Manhattan,Japanese,02B,A
Manhattan,Japanese,10F,A
Manhattan,Hamburgers,02B,A
Brooklyn,Juice, Smoothies, Fruit Salads,09C,A
Brooklyn,Pizza,08A,N
Manhattan,American,04H,C
Manhattan,Chicken,02B,A
Brooklyn,Caribbean,04L,A
Queens,Latin American,08A,A
Manhattan,Coffee/Tea,04A,B
Queens,African,04M,A
Manhattan,Sandwiches,10H,A
Queens,Latin American,02B,C
Manhattan,American,02B,A
Brooklyn,Chicken,02B,A
Bronx,American,02B,A
Staten Island,American,09B,B
Manhattan,Japanese,10A,C
Brooklyn,American,04A,A
Queens,Peruvian,04M,C
Manhattan,American,04L,Z
Queens,Japanese,04L,A
Queens,Juice, Smoothies, Fruit Salads,10G,A
Queens,Pizza,04L,A
Manhattan,American,08A,A
Manhattan,Chinese,09B,A
Brooklyn,Pakistani,04L,B
Queens,Coffee/Tea,06D,A
Queens,Steakhouse,02B,A
Staten Island,Seafood,08A,B
Queens,Caribbean,10A,A
Manhattan,Coffee/Tea,04M,C
Manhattan,American,10E,A
Queens,Chinese,09B,A
Queens,Latin American,08A,A
Brooklyn,Pizza,02B,A
Queens,Korean,04L,A
Manhattan,Donuts,06E,A
Manhattan,Japanese,06E,A
Queens,Chicken,02B,A
Bronx,Bakery Products/Desserts,06F,A
Manhattan,Thai,10H,A
Brooklyn,Chinese,09A,A
Bronx,Mexican,04A,B
Bronx,American,08A,A
Manhattan,Mexican,08A,A
Manhattan,American,02B,A
Manhattan,Pizza,02B,B
Manhattan,American,09C,A
Manhattan,Japanese,04M,A
Manhattan,Indian,02B,A
Manhattan,Japanese,09B,A
Manhattan,American,10F,A
Manhattan,Greek,10H,A
Manhattan,Bakery Products/Desserts,04A,C
Brooklyn,Mexican,02B,A
Queens,Moroccan,08A,A
Manhattan,Italian,06D,A
Brooklyn,Eastern European,08A,A
Manhattan,Pizza,04L,A
Queens,Pizza,02B,A
Queens,Korean,02B,B
